	round	batch	sent_id	sentence	disagree	neutral	agree	label
0	0	0	t0	He is worried that a White House-backed effort to develop a coronavirus vaccine is sending the wrong message because of its name.	0.04172703256011873	0.9566529752810031	0.001619992158878207	neutral
1	0	0	t1	They need a vaccine, with a similar share saying that they don't know if a COVID-19 vaccine will work and that they don't trust the government.	0.9926193240614362	0.004450020115963945	0.0029306558225998605	disagree
2	0	0	t2	Their first shot of the COVID vaccine at city-run sites.	0.0110697844187905	0.01734809879681528	0.9715821167843942	agree
3	0	0	t3	That she had driven through the tent to protest coronavirus vaccines	0.9976706250262071	0.002031293264294651	0.00029808170949826353	disagree
4	0	0	t4	Anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab	0.9997245205736786	0.00015474380386683515	0.00012073562245457518	disagree
5	0	0	t5	The president on Saturday evening lashed out at the ' fake news ' media for not giving him enough credit for the development of a COVID-19 vaccine. 	0.002759138113227326	0.9965985183748706	0.0006423435119020555	neutral
6	0	0	t6	That 71% of respondents said they would definitely  (41%) or probably (30%) get a COVID-19 vaccine if it were deemed safe by scientists and available to everyone for free.	0.005076611497331239	0.025494883658172464	0.9694285048444963	agree
7	0	0	t7	NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing.	0.006701287997157841	0.9852861170443219	0.00801259495852025	neutral
8	0	0	t8	Covid vaccines are working to thwart the outbreak within the next fortnight.	0.005226251209813887	0.025968110347607515	0.9688056384425786	agree
9	0	0	t9	They expect to apply to the FDA for an emergency - use authorization before the end of the month, after they have collected sufficient data on the vaccine's safety.	0.0053018142163237	0.9562458087693155	0.038452377014360765	neutral
10	0	0	t10	The taskforce will ensure that any potential coronavirus vaccine, when available, can be produced quickly and at scale so it can be made available to the public as quickly as possible.	0.013485121039568669	0.938500258844736	0.04801462011569536	neutral
11	0	0	t11	New York City is setting up plans to distribute COVID-19 vaccines starting this month.	0.012544730318345555	0.9393051697417962	0.04815009993985828	neutral
12	0	0	t12	The Covid-19 vaccine is a witches brew.	0.9997219441971364	0.00015222844419358623	0.00012582735866996627	disagree
13	0	0	t13	Only about half of Americans say they would get a COVID-19 vaccine if the scientists working furiously to create one succeed, a number that's surprisingly low considering the effort going into the global race for a vaccine.    	0.02149860522367209	0.9772208513202958	0.0012805434560321835	neutral
14	0	0	t14	Average American will be able to get a COVID-19 vaccine by late March or early April.	0.006391888342278011	0.9859768848421384	0.007631226815583607	neutral
15	0	0	t15	COVID vaccine should be MANDATORY in the NBA and says it would be 'tragic if someone died because of unnecessary conspiracy bulls.	0.00414899333473794	0.001249820475875867	0.9946011861893861	agree
16	0	0	t16	A successful Covid vaccine would be the company's first approved productâ bankrolling the business and validating the messenger-RNA technology behind the rest of Moderna's pipeline.	0.006660495418795945	0.985809262241102	0.007530242340101998	neutral
17	0	0	t17	86 % of children who participated in Pfizer covid vaccine trial experienced adverse reactions.	0.999463252499205	0.0003667613957673109	0.00016998610502779032	disagree
18	0	0	t18	It's important that we give the message that vaccines will help us in the fight against COVID and we need to continue to use these vaccines.	0.004043693068425455	0.0011977215396529778	0.9947585853919215	agree
19	0	0	t19	They are highly effective at reducing or preventing symptomatic disease.	0.002112482576429468	0.0022346112705529954	0.9956529061530176	agree
20	0	0	t20	Volunteers who got two doses of the vaccine had high levels of virus-killing antibodies that exceeded the average levels seen in people who had recovered from COVID-19.	0.005486769044365792	0.026708092564782022	0.9678051383908521	agree
21	0	0	t21	They would not attend a sporting event before a coronavirus vaccine was available.	0.006975159716965099	0.9851098127345164	0.007915027548518501	neutral
22	0	0	t22	Covid-19 vaccines require two doses at varying intervals.	0.01958809981856805	0.11205455869201751	0.8683573414894145	agree
